"CityName","CityPopulation","StateProvinceCode","StateProvinceName","StatePopulation"
"243","Akiak",346,"AK","Alaska",735132
"244","Akin",NA,"IL","Illinois",13397420
"245","Akins",493,"OK","Oklahoma",3850568
"246","Akra",NA,"ND","North Dakota",723393
"247","Akron",402,"KS","Kansas",2893957
"248","Akron",1702,"CO","Colorado",5698265
"249","Akron",356,"AL","Alabama",5437278
"250","Akron",1167,"IN","Indiana",6570902
"251","Akron",402,"MI","Michigan",9895622
"252","Akron",1486,"IA","Iowa",3214032
"253","Akron",199110,"OH","Ohio",12514985
"254","Akron",2868,"NY","New York",20437172
"255","Akron",3876,"PA","Pennsylvania",13284753
"256","Akutan",1027,"AK","Alaska",735132
"257","Alabam",NA,"AR","Arkansas",3077747
"258","Alabama",NA,"NY","New York",20437172
"259","Alabaster",NA,"MI","Michigan",9895622
"260","Alabaster",30352,"AL","Alabama",5437278
"261","Alachua",9059,"FL","Florida",21148372
"262","Aladdin",NA,"PA","Pennsylvania",13284753
"263","Aladdin",NA,"WY","Wyoming",605964
"264","Alakanuk",677,"AK","Alaska",735132
"265","Alamance",951,"NC","North Carolina",10241982
"266","Alameda",73812,"CA","California",41460453
"267","Alameda",NA,"NM","New Mexico",2345662
"268","Alamillo",102,"NM","New Mexico",2345662
"269","Alamo",1080,"NV","Nevada",2790136
"270","Alamo",18353,"TX","Texas",27506120
"271","Alamo",1085,"NM","New Mexico",2345662
"272","Alamo",14570,"CA","California",41460453
"273","Alamo",2797,"GA","Georgia",9992167
"274","Alamo",2461,"TN","Tennessee",6495978
"275","Alamo",66,"IN","Indiana",6570902
"276","Alamo",57,"ND","North Dakota",723393
"277","Alamo Alto",NA,"TX","Texas",27506120
"278","Alamo Heights",7031,"TX","Texas",27506120
"279","Alamo Oaks",NA,"CA","California",41460453
"280","Alamogordo",30403,"NM","New Mexico",2345662
"281","Alamosa",8780,"CO","Colorado",5698265
"282","Alamota",NA,"KS","Kansas",2893957
"283","Alanreed",NA,"TX","Texas",27506120
"284","Alanson",738,"MI","Michigan",9895622
"285","Alapaha",668,"GA","Georgia",9992167
"286","Alarka",NA,"NC","North Carolina",10241982
"287","Alatna",37,"AK","Alaska",735132
"288","Alba",295,"MI","Michigan",9895622
"289","Alba",504,"TX","Texas",27506120
"290","Alba",157,"PA","Pennsylvania",13284753
"291","Alba",555,"MO","Missouri",6262867
"292","Alban",NA,"WI","Wisconsin",6211317
"293","Albany",18539,"CA","California",41460453
"294","Albany",NA,"NH","New Hampshire",1376397
"295","Albany",143,"OK","Oklahoma",3850568
"296","Albany",2561,"MN","Minnesota",5637195
"297","Albany",1730,"MO","Missouri",6262867
"298","Albany",97856,"NY","New York",20437172
"299","Albany",1018,"WI","Wisconsin",6211317
"300","Albany",193,"VT","Vermont",677762
"301","Albany",50158,"OR","Oregon",4250757
"302","Albany",2034,"TX","Texas",27506120
"303","Albany",55,"WY","Wyoming",605964
"304","Albany",1088,"LA","Louisiana",4810488
"305","Albany",828,"OH","Ohio",12514985
"306","Albany",2165,"IN","Indiana",6570902
"307","Albany",891,"IL","Illinois",13397420
"308","Albany",77434,"GA","Georgia",9992167
"309","Albany",2033,"KY","Kentucky",4571106
"310","Albee",16,"SD","South Dakota",844877
"311","Albemarle",15903,"NC","North Carolina",10241982
"312","Alberene",NA,"VA","Virginia",8260405
"313","Alberhill",NA,"CA","California",41460453
"314","Albers",1190,"IL","Illinois",13397420
"315","Albert",175,"KS","Kansas",2893957
"316","Albert",NA,"OK","Oklahoma",3850568
"317","Albert",NA,"TX","Texas",27506120
"318","Albert City",699,"IA","Iowa",3214032
"319","Albert Lea",18016,"MN","Minnesota",5637195
"320","Alberta",103,"MN","Minnesota",5637195
"321","Alberta",298,"VA","Virginia",8260405
"322","Alberta",NA,"AL","Alabama",5437278
"323","Alberton",420,"MT","Montana",1187597
"324","Albertson",5182,"NY","New York",20437172
"325","Albertville",7044,"MN","Minnesota",5637195
"326","Albertville",21160,"AL","Alabama",5437278
"327","Albertville",NA,"WI","Wisconsin",6211317
"328","Albia",3766,"IA","Iowa",3214032
"329","Albin",NA,"MS","Mississippi",2991207
"330","Albin",181,"WY","Wyoming",605964
"331","Albion",579,"WA","Washington",7540272
"332","Albion",106,"OK","Oklahoma",3850568
"333","Albion",NA,"ME","Maine",1381434
"334","Albion",168,"CA","California",41460453
"335","Albion",NA,"NJ","New Jersey",8899339
"336","Albion",NA,"MT","Montana",1187597
"337","Albion",NA,"WI","Wisconsin",6211317
"338","Albion",NA,"TX","Texas",27506120
"339","Albion",1650,"NE","Nebraska",1943256
"340","Albion",505,"IA","Iowa",3214032
"341","Albion",1988,"IL","Illinois",13397420
"342","Albion",1516,"PA","Pennsylvania",13284753
"343","Albion",6056,"NY","New York",20437172
"344","Albion",8616,"MI","Michigan",9895622
"345","Albion",2349,"IN","Indiana",6570902
"346","Albion",267,"ID","Idaho",1612136
"347","Alborn",NA,"MN","Minnesota",5637195
"348","Albright",299,"WV","West Virginia",2085839
"349","Albrightsville",202,"PA","Pennsylvania",13284753
"350","Albuquerque",545852,"NM","New Mexico",2345662
"351","Alburg",497,"VT","Vermont",677762
"352","Alburnett",673,"IA","Iowa",3214032
"353","Alburtis",2361,"PA","Pennsylvania",13284753
"354","Alcalde",285,"NM","New Mexico",2345662
"355","Alcan",NA,"AK","Alaska",735132
"356","Alcester",807,"SD","South Dakota",844877
"357","Alco",NA,"AR","Arkansas",3077747
"358","Alcoa",8449,"TN","Tennessee",6495978
"359","Alcoa Center",NA,"PA","Pennsylvania",13284753
"360","Alcolu",429,"SC","South Carolina",4774839
"361","Alcoma",NA,"FL","Florida",21148372
"362","Alcova",76,"WY","Wyoming",605964
"363","Alda",642,"NE","Nebraska",1943256
"364","Aldan",4152,"PA","Pennsylvania",13284753
"365","Alden",2605,"NY","New York",20437172
"366","Alden",148,"KS","Kansas",2893957
"367","Alden",661,"MN","Minnesota",5637195
"368","Alden",787,"IA","Iowa",3214032
"369","Alden",125,"MI","Michigan",9895622
"370","Alden",NA,"OK","Oklahoma",3850568
"371","Alden Bridge",NA,"LA","Louisiana",4810488
"372","Alder",227,"WA","Washington",7540272
"373","Alder",103,"MT","Montana",1187597
"374","Alder Creek",NA,"NY","New York",20437172
"375","Alderdale",NA,"WA","Washington",7540272
"376","Alderley",NA,"WI","Wisconsin",6211317
"377","Alderpoint",186,"CA","California",41460453
"378","Alderson",304,"OK","Oklahoma",3850568
"379","Alderson",1184,"WV","West Virginia",2085839
"380","Alderwood Manor",8442,"WA","Washington",7540272
"381","Aldine",15869,"TX","Texas",27506120
"382","Aldora",103,"GA","Georgia",9992167
"383","Aldrich",80,"MO","Missouri",6262867
"384","Aldrich",48,"MN","Minnesota",5637195
"385","Aledo",3640,"IL","Illinois",13397420
"386","Aledo",2716,"TX","Texas",27506120
"387","Aleknagik",219,"AK","Alaska",735132
"388","Alex",550,"OK","Oklahoma",3850568
"389","Alexander",NA,"ME","Maine",1381434
"390","Alexander",NA,"GA","Georgia",9992167
"391","Alexander",NA,"WV","West Virginia",2085839
"392","Alexander",NA,"TX","Texas",27506120
"393","Alexander",2901,"AR","Arkansas",3077747
"394","Alexander",65,"KS","Kansas",2893957
"395","Alexander",175,"IA","Iowa",3214032
"396","Alexander",509,"NY","New York",20437172
"397","Alexander",223,"ND","North Dakota",723393
"398","Alexander City",14875,"AL","Alabama",5437278
"399","Alexander Mills",NA,"NC","North Carolina",10241982
"400","Alexandria",NA,"NH","New Hampshire",1376397
"401","Alexandria",3917,"AL","Alabama",5437278
"402","Alexandria",47723,"LA","Louisiana",4810488
"403","Alexandria",8477,"KY","Kentucky",4571106
"404","Alexandria",177,"NE","Nebraska",1943256
"405","Alexandria",517,"OH","Ohio",12514985
"406","Alexandria",966,"TN","Tennessee",6495978
"407","Alexandria",346,"PA","Pennsylvania",13284753
"408","Alexandria",615,"SD","South Dakota",844877
"409","Alexandria",139966,"VA","Virginia",8260405
"410","Alexandria",11070,"MN","Minnesota",5637195
"411","Alexandria",5145,"IN","Indiana",6570902
"412","Alexandria",159,"MO","Missouri",6262867
"413","Alexandria Bay",1078,"NY","New York",20437172
"414","Alexis",831,"IL","Illinois",13397420
"415","Alfalfa",NA,"OR","Oregon",4250757
"416","Alfalfa",NA,"OK","Oklahoma",3850568
"417","Alfarata",149,"PA","Pennsylvania",13284753
"418","Alford",NA,"MA","Massachusetts[E]",6960536
"419","Alford",489,"FL","Florida",21148372
"420","Alfordsville",101,"IN","Indiana",6570902
"421","Alfred",4174,"NY","New York",20437172
"422","Alfred",NA,"ME","Maine",1381434
"423","Alfred",91,"TX","Texas",27506120
"424","Alfred",NA,"ND","North Dakota",723393
"425","Alger",860,"OH","Ohio",12514985
"426","Alger",403,"WA","Washington",7540272
"427","Algerita",NA,"TX","Texas",27506120
"428","Algoa",NA,"TX","Texas",27506120
"429","Algodones",814,"NM","New Mexico",2345662
"430","Algoma",590,"MS","Mississippi",2991207
"431","Algoma",3167,"WI","Wisconsin",6211317
"432","Algoma",NA,"ID","Idaho",1612136
"433","Algona",5560,"IA","Iowa",3214032
"434","Algona",3014,"WA","Washington",7540272
"435","Algonac",4110,"MI","Michigan",9895622
"436","Algonquin",30046,"IL","Illinois",13397420
"437","Algood",3495,"TN","Tennessee",6495978
"438","Alhambra",83089,"CA","California",41460453
